JockeyId,LastOff,JockeyNumberOfPriorRaces,JockeyWinPercentage,JockeyTop3Percentage,JockeyAvgRelFinishingPosition
103148,2024-10-09 15:21:00,3.0,0.3333333333333333,0.3333333333333333,0.046456834263317724
103152,2024-10-23 17:23:00,12.0,0.0,0.0,0.507559356041586
103158,2024-09-07 15:42:00,26.0,0.07692307692307693,0.23076923076923078,0.4599326166685929
103160,2024-09-06 13:15:00,3.0,0.0,0.0,0.6696035242290749
103162,2023-11-19 22:10:00,1.0,0.0,0.0,1.0
103168,2023-11-24 13:30:00,1.0,0.0,0.0,1.0
103174,2023-11-24 23:35:00,1.0,0.0,0.0,0.7
103176,2024-03-16 23:15:00,50.0,0.0799999999999999,0.18,0.6295471750471751
103177,2023-12-02 12:15:00,1.0,0.0,0.0,0.9166666666666666
103183,2024-10-14 13:50:00,7.0,0.14285714285714285,0.42857142857142855,0.38403640336971534
103184,2024-10-06 13:00:00,1.0,0.0,0.0,0.07058823529411765
103187,2024-04-05 17:30:00,19.0,0.1578947368421052,0.3157894736842105,0.4703553756185335
103188,2024-08-31 17:26:00,12.0,0.08333333333333333,0.25,0.5251954948646125
103189,2023-12-02 19:40:00,1.0,0.0,0.0,0.5789473684210527
103190,2023-12-02 21:50:00,1.0,0.0,0.0,0.8235294117647058
103191,2024-06-01 22:00:00,1.0,0.0,0.0,0.4444444444444444
103198,2024-10-25 19:45:00,330.0,0.13030303030303023,0.36060606060606065,0.3363464336935199
103203,2024-01-24 12:40:00,2.0,0.0,0.5,0.4658119658119658
103204,2023-12-30 23:30:00,3.0,0.0,0.0,0.9141414141414143
103208,2024-10-17 13:22:00,55.0,0.14545454545454542,0.3454545454545454,0.41518897140967365
103216,2024-10-23 15:50:00,36.0,0.08333333333333331,0.13888888888888884,0.006756029285099002
103217,2024-08-30 16:20:00,4.0,0.0,0.0,0.553439026726698
103219,2023-12-16 19:25:00,1.0,0.0,0.0,0.8
103229,2024-02-24 12:00:00,1.0,0.0,0.0,0.5555555555555556
103235,2024-08-10 19:47:00,1.0,0.0,0.0,0.6666666666666666
103238,2023-12-26 15:08:00,1.0,0.0,0.0,1.0
103239,2024-08-27 19:45:00,5.0,0.0,0.2,0.3424396549854798
103242,2024-08-05 17:35:00,1.0,0.0,0.0,0.022494887525562373
103243,2024-09-05 19:15:00,9.0,0.0,0.1111111111111111,0.5484507745981798
103247,2024-06-06 18:22:00,1.0,0.0,0.0,0.625
103254,2024-01-03 14:22:00,1.0,0.0,0.0,0.9166666666666666
103256,2024-02-04 13:45:00,1.0,0.0,0.0,1.0
103258,2024-03-08 15:15:00,4.0,0.0,0.0,0.9297619047619046
103263,2024-01-06 22:00:00,1.0,0.0,0.0,1.0
103265,2024-05-15 19:52:00,4.0,0.0,0.25,0.639985014985015
103268,2024-10-16 17:20:00,2.0,0.0,0.0,0.4706293706293707
103273,2024-06-10 19:48:00,7.0,0.1428571428571428,0.1428571428571428,0.6964493839493839
103274,2024-01-20 16:15:00,1.0,0.0,0.0,1.0
103280,2024-10-25 15:35:00,3.0,0.0,0.6666666666666666,0.260752688172043
103297,2024-10-22 14:35:00,9.0,0.1111111111111111,0.7777777777777778,0.258719102269562
103298,2024-10-16 16:20:00,5.0,0.2,0.2,0.7675675675675676
103310,2024-02-04 13:45:00,1.0,1.0,1.0,0.14285714285714285
103312,2024-10-25 15:35:00,6.0,0.0,0.0,0.5163247127658067
103321,2024-10-14 16:05:00,10.0,0.1,0.3,0.5615414044515679
103325,2024-10-10 15:19:00,4.0,0.0,0.25,0.15373685756240824
103327,2024-03-09 21:45:00,2.0,0.0,0.5,0.5
103337,2024-03-11 16:20:00,1.0,0.0,1.0,0.75
103343,2024-10-22 17:03:00,4.0,0.0,0.0,0.6846666666666666
103357,2024-02-18 17:10:00,1.0,0.0,1.0,0.13333333333333333
103358,2024-10-15 17:20:00,4.0,0.0,0.0,0.4677947771560106
103359,2024-02-18 17:10:00,1.0,0.0,0.0,0.3333333333333333
103360,2024-02-18 17:10:00,1.0,0.0,0.0,0.6666666666666666
103361,2024-02-18 17:10:00,1.0,0.0,0.0,0.5333333333333333
103362,2024-02-18 17:10:00,1.0,0.0,0.0,0.4666666666666667
103363,2024-02-18 17:10:00,1.0,0.0,0.0,0.9333333333333333
103364,2024-02-18 17:10:00,1.0,0.0,0.0,0.8666666666666667
103365,2024-02-18 17:10:00,1.0,0.0,0.0,0.26666666666666666
103366,2024-02-18 17:10:00,1.0,1.0,1.0,0.06666666666666667
103367,2024-02-18 17:10:00,1.0,0.0,1.0,0.2
103368,2024-02-18 17:10:00,1.0,0.0,0.0,0.8
103370,2024-06-14 20:30:00,2.0,0.0,0.0,0.7666666666666666
103373,2024-02-16 14:45:00,1.0,0.0,0.0,1.0
103375,2024-10-21 14:22:00,6.0,0.0,0.5,0.15214684546048426
103386,2024-02-24 12:00:00,1.0,0.0,0.0,0.9444444444444444
103393,2024-03-30 23:30:00,2.0,0.5,1.0,0.1653846153846154
103394,2024-02-24 12:40:00,1.0,0.0,0.0,0.8
103396,2024-02-24 12:40:00,1.0,0.0,0.0,0.9
103397,2024-02-24 12:40:00,1.0,0.0,0.0,1.0
103416,2024-05-01 13:50:00,2.0,0.0,0.5,0.5833333333333333
103420,2024-10-24 18:30:00,11.0,0.09090909090909091,0.18181818181818182,0.4882789648632086
103425,2024-10-25 19:00:00,66.0,0.12121212121212113,0.27272727272727265,0.17996086896498792
103438,2024-07-13 19:25:00,1.0,0.0,0.0,0.9285714285714286
103439,2024-07-28 19:35:00,5.0,0.0,0.0,0.5434166165509449
103440,2024-08-18 19:25:00,3.0,0.0,0.0,0.41876750700280113
103441,2024-09-01 19:45:00,3.0,0.0,0.0,0.545662100456621
103445,2024-03-05 16:10:00,1.0,0.0,0.0,0.3333333333333333
103450,2024-04-05 17:30:00,1.0,0.0,0.0,1.0
103453,2024-06-13 19:00:00,5.0,0.0,0.2,0.3955555555555555
103455,2024-08-31 16:15:00,2.0,0.0,0.5,0.16908212560386474
103462,2024-10-13 16:35:00,11.0,0.09090909090909091,0.2727272727272727,0.19462731384227616
103465,2024-08-30 16:20:00,6.0,0.0,0.16666666666666666,0.34832367512765217
103466,2024-10-18 17:20:00,13.0,0.23076923076923078,0.3076923076923077,0.1684808321836317
103469,2024-10-14 16:50:00,7.0,0.0,0.0,0.6923422291130353
103479,2024-03-14 12:30:00,1.0,0.0,0.0,0.6875
103482,2024-05-17 14:25:00,5.0,0.0,0.0,0.7035897435897436
103483,2024-10-21 16:00:00,23.0,0.04347826086956517,0.04347826086956517,0.28374568716700443
103486,2024-10-22 14:35:00,5.0,0.0,0.0,0.5358263959186346
