TrainerId,TrainerNumberOfPriorRaces,TrainerWinPercentage,TrainerTop3Percentage,TrainerAvgRelFinishingPosition
5729,11.0,0.0,0.09090909090909091,0.6217213342213342
5734,7.0,0.14285714285714285,0.5714285714285714,0.4651360544217687
5757,17.0,0.058823529411764705,0.17647058823529413,0.6197005608770314
5767,167.0,0.19161676646706588,0.6586826347305388,0.37039793576483626
5772,71.0,0.028169014084507043,0.29577464788732394,0.4657239313204516
5789,3.0,0.0,0.0,0.7962962962962963
5802,53.0,0.32075471698113206,0.5471698113207547,0.4469433606226058
5827,13.0,0.0,0.23076923076923078,0.6723748473748472
5837,39.0,0.0,0.1794871794871795,0.6474945994176763
5863,256.0,0.1484375,0.33203125,0.5137726967512531
5865,8.0,0.375,0.875,0.06272644927536232
5958,3.0,0.0,0.3333333333333333,0.5833333333333334
5992,7.0,0.14285714285714285,0.5714285714285714,0.32108843537414966
6029,37.0,0.08108108108108109,0.35135135135135137,0.5291461695873462
6040,2.0,0.0,1.0,0.0
6045,43.0,0.06976744186046512,0.3488372093023256,0.5244662314429757
6109,126.0,0.07936507936507936,0.42063492063492064,0.505851625809609
6173,45.0,0.08888888888888889,0.5333333333333333,0.38680880484802055
6226,10.0,0.2,0.5,0.4567857142857143
6304,82.0,0.036585365853658534,0.23170731707317074,0.6519950577877408
6336,14.0,0.0,0.42857142857142855,0.427502819309542
6349,14.0,0.07142857142857142,0.35714285714285715,0.42847866419294994
6351,52.0,0.038461538461538464,0.5384615384615384,0.37647251253020486
6377,5.0,0.2,0.4,0.3070961718020542
6453,10.0,0.2,0.6,0.46692918192918204
6505,47.0,0.06382978723404255,0.3617021276595745,0.5324606835245134
6530,2.0,0.0,1.0,0.1
6563,40.0,0.125,0.5,0.48364638380942726
6626,6.0,0.0,0.0,0.6499287749287749
6631,13.0,0.0,0.6923076923076923,0.40586080586080586
6636,12.0,0.08333333333333333,0.25,0.5570165945165945
6773,24.0,0.08333333333333333,0.16666666666666666,0.7542896917896919
6845,193.0,0.11398963730569948,0.34196891191709844,0.5583864394097555
6891,66.0,0.030303030303030304,0.22727272727272727,0.5017190179570561
6964,39.0,0.05128205128205128,0.3076923076923077,0.5691001306385922
7001,31.0,0.0,0.25806451612903225,0.6604573346746023
7005,31.0,0.0967741935483871,0.3225806451612903,0.5209574028122417
7015,21.0,0.0,0.42857142857142855,0.4905375708947137
7040,8.0,0.0,0.25,0.5762648809523808
7083,117.0,0.12820512820512822,0.37606837606837606,0.5731419864685722
7137,92.0,0.13043478260869565,0.5217391304347826,0.44698541193106406
7149,1.0,0.0,1.0,0.21428571428571427
7198,31.0,0.12903225806451613,0.45161290322580644,0.32225843574515306
7221,121.0,0.09090909090909091,0.33884297520661155,0.5528384385020262
7225,33.0,0.030303030303030304,0.3333333333333333,0.4709031709031709
7236,42.0,0.19047619047619047,0.5,0.4914601932459075
7241,11.0,0.0,0.09090909090909091,0.622935397935398
7293,115.0,0.08695652173913043,0.30434782608695654,0.5140191659835447
7300,62.0,0.016129032258064516,0.14516129032258066,0.7599104300717203
7524,44.0,0.06818181818181818,0.38636363636363635,0.45617803386487077
7606,15.0,0.0,0.2,0.4651034042210513
7660,41.0,0.04878048780487805,0.2926829268292683,0.5232646713870757
7722,36.0,0.1111111111111111,0.2777777777777778,0.5969862699029365
7743,35.0,0.08571428571428572,0.2,0.5931168178227002
7753,7.0,0.0,0.2857142857142857,0.5622448979591838
7795,498.0,0.1144578313253012,0.35542168674698793,0.5418445497029182
7811,69.0,0.13043478260869565,0.4492753623188406,0.39199043447625675
7819,12.0,0.16666666666666666,0.6666666666666666,0.3623677248677249
7832,30.0,0.06666666666666667,0.3,0.424938764938765
7852,51.0,0.09803921568627451,0.43137254901960786,0.534946534946535
7873,72.0,0.027777777777777776,0.3055555555555556,0.5456116029032698
7878,8.0,0.0,0.375,0.28308239962651727
7893,8.0,0.0,0.0,0.7521558302808303
7896,1.0,0.0,0.0,0.8333333333333334
