RaceId,RaceName,CourseId,CourseName,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating
813791,Each Way Extra At bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo,None,7f,7,1407,1540,Good To Firm,Turf,3612345,Ideal Guest,78935,Tom Queally,9796,George Margarson,3,v,6,4,9-0,144,SP,,56,75,65
813791,Each Way Extra At bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo,None,7f,7,1407,1540,Good To Firm,Turf,3995336,Somedayonedaynever,84857,Luke Morris,9714,Tony Carroll,3,,7,5,8-4,132,SP,,46,72,58
813788,Price Promise At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Good To Firm,Turf,2113302,Porterinthejungle,13699,Neil Callan,31567,Robyn Brisland,6,,1,2,9-11,155,SP,,62,63,45
813788,Price Promise At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Good To Firm,Turf,3386696,Local Bay,98519,Cieren Fallon,9714,Tony Carroll,4,,2,4,9-11,155,SP,,62,73,23
813788,Price Promise At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Good To Firm,Turf,1371912,Spanish Mane,100384,Rose Dawes,14532,Julia Feilden,7,p,3,3,9-9,153,SP,,60,74,60
813788,Price Promise At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Good To Firm,Turf,2856066,Soyounique,95522,Luke Catton,8543,Stuart Williams,5,t,4,8,9-9,153,SP,,60,78,
813788,Price Promise At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Good To Firm,Turf,3392135,Sly Madam,86570,Trevor Whelan,6505,Sheena West,4,p,5,6,9-7,151,SP,,58,68,61
813788,Price Promise At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Good To Firm,Turf,3243612,Pontius,91857,Daniel Muscutt,25628,Charles Hills,4,,6,7,9-4,148,SP,,55,64,46
813788,Price Promise At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Good To Firm,Turf,2117570,Eastern Star,84857,Luke Morris,9714,Tony Carroll,6,,7,1,9-3,147,SP,,54,68,54
813788,Price Promise At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Good To Firm,Turf,3110801,Dillydingdillydong,101034,Alec Voikhansky,28787,Richard Hannon,4,,8,5,9-1,145,SP,,52,71,50
813795,Thomas Carroll 50th Birthday Handicap,12,Chepstow,Other,Class 5,,0-70,3yo+,None,7f,7,1407,1540,Good,Turf,3198862,Macs Dilemma,87589,Gina Mangan,4128,John O'Shea,4,p,1,4,10-3,163,SP,,71,76,64
813795,Thomas Carroll 50th Birthday Handicap,12,Chepstow,Other,Class 5,,0-70,3yo+,None,7f,7,1407,1540,Good,Turf,1021467,Sir Plato,95492,Georgia Dobie,4550,Rod Millman,8,b,2,7,10-2,162,SP,,70,77,54
813795,Thomas Carroll 50th Birthday Handicap,12,Chepstow,Other,Class 5,,0-70,3yo+,None,7f,7,1407,1540,Good,Turf,2672161,Bolly Bullet,78252,Liam Keniry,4128,John O'Shea,5,ht,3,2,10-2,162,SP,,70,72,13
813795,Thomas Carroll 50th Birthday Handicap,12,Chepstow,Other,Class 5,,0-70,3yo+,None,7f,7,1407,1540,Good,Turf,877155,Madrinho,86013,David Probert,9714,Tony Carroll,9,,4,5,9-11,155,SP,,65,72,57
813795,Thomas Carroll 50th Birthday Handicap,12,Chepstow,Other,Class 5,,0-70,3yo+,None,7f,7,1407,1540,Good,Turf,3101944,Joy Choi,100360,Callum Hutchinson,5827,Malcolm Saunders,4,,5,6,9-9,153,SP,,63,72,60
