FoldDate,Algorithm,RaceId,HorseId,CourseName,Surface,Going,RaceType,DistanceInMeters,FinishingPosition,DecimalOdds,PredictedScore,WinProbability,FieldSize,RaceClass
2026-05-10,AbstainWrapperAlgorithm,919781,6323501,Cork (IRE),Turf,Good,Hurdle,3518,5,5.5,,0.1843168,7,
2026-05-10,AbstainWrapperAlgorithm,919781,8565929,Cork (IRE),Turf,Good,Hurdle,3518,6,7.5,,0.10196769,7,
2026-05-10,AbstainWrapperAlgorithm,919781,8725510,Cork (IRE),Turf,Good,Hurdle,3518,7,5.5,,0.24961293,7,
2026-05-10,AbstainWrapperAlgorithm,919824,8214848,Leopardstown (IRE),Turf,Good,Other,2010,1,10.0,,0.19540128,5,
2026-05-10,AbstainWrapperAlgorithm,919824,7627156,Leopardstown (IRE),Turf,Good,Other,2010,2,1.8333333333333333,,0.27588364,5,
2026-05-10,AbstainWrapperAlgorithm,919824,7801963,Leopardstown (IRE),Turf,Good,Other,2010,3,4.5,,0.18083023,5,
2026-05-10,AbstainWrapperAlgorithm,919824,7856868,Leopardstown (IRE),Turf,Good,Other,2010,4,4.5,,0.29303113,5,
2026-05-10,AbstainWrapperAlgorithm,919824,8144078,Leopardstown (IRE),Turf,Good,Other,2010,5,41.0,,0.120557144,5,
2026-05-10,AbstainWrapperAlgorithm,919827,8268289,Leopardstown (IRE),Turf,Good,Other,2412,1,4.5,,0.15030952,8,
2026-05-10,AbstainWrapperAlgorithm,919827,8375315,Leopardstown (IRE),Turf,Good,Other,2412,2,5.0,,0.14730638,8,
2026-05-10,AbstainWrapperAlgorithm,919827,8183826,Leopardstown (IRE),Turf,Good,Other,2412,3,4.333333333333334,,0.13005371,8,
2026-05-10,AbstainWrapperAlgorithm,919827,7627147,Leopardstown (IRE),Turf,Good,Other,2412,4,5.0,,0.16548458,8,
2026-05-10,AbstainWrapperAlgorithm,919827,8973303,Leopardstown (IRE),Turf,Good,Other,2412,5,34.0,,0.06241482,8,
2026-05-10,AbstainWrapperAlgorithm,919827,7757768,Leopardstown (IRE),Turf,Good,Other,2412,6,12.0,,0.12529267,8,
2026-05-10,AbstainWrapperAlgorithm,919827,8144069,Leopardstown (IRE),Turf,Good,Other,2412,7,5.5,,0.2443024,8,
2026-05-10,AbstainWrapperAlgorithm,919827,8743834,Leopardstown (IRE),Turf,Good,Other,2412,8,41.0,,0.045244988,8,
2026-05-10,AbstainWrapperAlgorithm,917497,8313815,Ludlow,Turf,Good,Hurdle,3217,1,2.2,,0.36274216,4,Class 4
2026-05-10,AbstainWrapperAlgorithm,917497,8313806,Ludlow,Turf,Good,Hurdle,3217,2,2.1,,0.28529772,4,Class 4
2026-05-10,AbstainWrapperAlgorithm,917497,8330894,Ludlow,Turf,Good,Hurdle,3217,3,9.5,,0.09458133,4,Class 4
2026-05-10,AbstainWrapperAlgorithm,917497,8556526,Ludlow,Turf,Good,Hurdle,3217,4,26.0,,0.15046857,4,Class 4
2026-05-10,AbstainWrapperAlgorithm,917501,7365420,Ludlow,Turf,Good,Hurdle,4825,1,4.0,,0.11997268,8,Class 5
2026-05-10,AbstainWrapperAlgorithm,917501,8366581,Ludlow,Turf,Good,Hurdle,4825,2,13.0,,0.08006567,8,Class 5
2026-05-10,AbstainWrapperAlgorithm,917501,6550858,Ludlow,Turf,Good,Hurdle,4825,3,4.333333333333334,,0.25202757,8,Class 5
2026-05-10,AbstainWrapperAlgorithm,917501,5574418,Ludlow,Turf,Good,Hurdle,4825,4,5.5,,0.27647007,8,Class 5
2026-05-10,AbstainWrapperAlgorithm,917501,6868946,Ludlow,Turf,Good,Hurdle,4825,5,4.5,,0.15659973,8,Class 5
2026-05-10,AbstainWrapperAlgorithm,917501,4272365,Ludlow,Turf,Good,Hurdle,4825,6,8.0,,0.12165874,8,Class 5
2026-05-10,AbstainWrapperAlgorithm,917501,5881621,Ludlow,Turf,Good,Hurdle,4825,7,13.0,,0.13494948,8,Class 5
2026-05-10,AbstainWrapperAlgorithm,917501,4924382,Ludlow,Turf,Good,Hurdle,4825,8,151.0,,0.013506882,8,Class 5
2026-05-10,AbstainWrapperAlgorithm,917498,2644705,Ludlow,Turf,Good,SteepleChase,4825,1,4.0,,0.20208892,4,Class 4
2026-05-10,AbstainWrapperAlgorithm,917498,4125044,Ludlow,Turf,Good,SteepleChase,4825,2,3.75,,0.41160625,4,Class 4
